"x (air, [ft3/s])","y (water, [ft3/s])"
0.005590053,0.006645963
0.006832321,0.008416148
0.008074527,0.010279503
0.010559002,0.012018633
0.013664601,0.013850932
0.017701854,0.015559007
0.02546583,0.017111802
0.040372679,0.018260869
0.058385084,0.01810559
0.07298136,0.017515528
0.091925462,0.016832298
0.110559013,0.016273292
0.128571439,0.015776398
0.148136644,0.015310559
0.166459643,0.014906832
0.184161497,0.014440994
